starttime,uid,saddr,sport,daddr,dport,proto,dur,appproto,spkts,dpkts,sbytes,dbytes,smac,dmac,state,history,type_,dir_,label
1499342357.298882,Cpj4WW1gkfOb4o1kwj,192.168.10.14,59555,192.168.10.3,53,17,0.0002689361572265625,dns,2,2,102,322,b8:ac:6f:36:07:ee,18:66:da:9b:e3:7d,SF,Dd,conn,->,benign
1499342357.299504,CVVQAZ1MpSnwGZapL1,192.168.10.14,59135,65.55.44.109,443,6,60.311468839645386,ssl,10,8,2306,4215,b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,SF,ShADdaFf,conn,->,benign
1499342437.858639,CiWMXi4nqPiSRWOdya,192.168.10.19,50535,192.168.10.3,53,17,0.023977994918823242,dns,2,2,46,196,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342437.858884,CyMY9s1MngYqO1cgA9,192.168.10.3,60721,192.168.10.1,53,17,0.023526906967163086,dns,1,1,34,109,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342438.004495,CADt481qTfbX0NY2Kd,192.168.10.19,55086,192.168.10.3,53,17,0.00017118453979492188,dns,2,2,46,196,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342438.014671,CROmNO3SfFl5z8y4L5,192.168.10.19,1379,192.168.10.3,53,17,0.02552485466003418,dns,2,2,68,132,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342438.014676,CGTEFy1LLMGZ246NRj,192.168.10.19,11737,192.168.10.3,53,17,0.026386022567749023,dns,2,2,68,190,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342438.014882,CHrmpu4JaQVc7X2qy9,192.168.10.3,62468,192.168.10.1,53,17,0.025116920471191406,dns,1,1,45,77,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342438.014945,CpkQAM2R7Yf1NKk9f4,192.168.10.3,62174,192.168.10.1,53,17,0.025925874710083008,dns,1,1,45,106,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,SF,Dd,conn,->,benign
1499342438.168848,Cbeaam2xjN4dexfnme,192.168.10.19,137,192.168.10.50,137,17,2.86102294921875e-06,dns,1,1,62,62,00:23:ae:9b:ad:b3,00:19:b9:0a:69:f1,SF,D^d,conn,->,malicious
1499342443.20443,CEnBFx331mWR1dVd21,192.168.10.19,32791,192.168.10.3,389,6,0.0005660057067871094,,12,8,86,163,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,RSTR,ShADTdtFar,conn,->,malicious
1499342443.230212,CKOkto6v9f2wyMbsc,192.168.10.19,41567,192.168.10.3,88,6,0.0012669563293457031,,11,10,1575,1576,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,RSTR,ShADaGTdtFr,conn,->,malicious
1499342443.205802,CRli341yIal6JYiACk,192.168.10.19,32792,192.168.10.3,389,6,0.027805089950561523,,18,15,1725,3327,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,RSTR,ShADTdtFr,conn,->,malicious
1499342443.273382,CejXh32Ao6aLM8CPG2,192.168.10.19,41569,192.168.10.3,88,6,0.001207113265991211,krb_tcp,10,10,1575,1576,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,RSTR,ShADaTdtFr,conn,->,malicious
1499342439.016147,CKagAq3YD6lDC7Iaw8,192.168.10.19,40356,192.168.10.3,53,17,0.0002570152282714844,dns,2,2,68,132,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342439.016151,CaOHTa1enliIwAmZ68,192.168.10.19,31849,192.168.10.3,53,17,0.0003020763397216797,dns,2,2,68,190,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,SF,Dd,conn,->,malicious
1499342444.601796,CgrcwFEo4QA4vfVba,192.168.10.19,32798,192.168.10.3,389,6,0.00046515464782714844,,12,8,86,163,00:23:ae:9b:ad:b3,18:66:da:9b:e3:7d,RSTR,ShADTdtFar,conn,->,malicious
