uid,flow,label,profileid,twid,aid
Cpj4WW1gkfOb4o1kwj,"{""starttime"": 1499342357.298882, ""uid"": ""Cpj4WW1gkfOb4o1kwj"", ""saddr"": ""192.168.10.14"", ""daddr"": ""192.168.10.3"", ""dur"": 0.0002689361572265625, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 59555, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 102, ""dbytes"": 322, ""smac"": ""b8:ac:6f:36:07:ee"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",benign,profile_192.168.10.14,timewindow1,MzU2MzI4MTJhZTZlMmRiNDgzNzVkMThjOTdhNTQzNmQxODY5ZDJiMw==
CVVQAZ1MpSnwGZapL1,"{""starttime"": 1499342357.299504, ""uid"": ""CVVQAZ1MpSnwGZapL1"", ""saddr"": ""192.168.10.14"", ""daddr"": ""65.55.44.109"", ""dur"": 60.311468839645386, ""proto"": ""tcp"", ""appproto"": ""ssl"", ""sport"": 59135, ""dport"": 443, ""spkts"": 10, ""dpkts"": 8, ""sbytes"": 2306, ""dbytes"": 4215, ""smac"": ""b8:ac:6f:36:07:ee"", ""dmac"": ""00:c1:b1:14:eb:31"", ""state"": ""SF"", ""history"": ""ShADdaFf"", ""type_"": ""conn"", ""dir_"": ""->""}",benign,profile_192.168.10.14,timewindow1,ZGJiNWFjY2FkYzU2Yjg0YzlhOTRlNWUwY2E4ZWFkOTI4NmVlNDY2ZQ==
CiWMXi4nqPiSRWOdya,"{""starttime"": 1499342437.858639, ""uid"": ""CiWMXi4nqPiSRWOdya"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.023977994918823242, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 50535, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 46, ""dbytes"": 196, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,NmMxZTE3ZmFmNTI1YTAwZTExZWFmNjBmYTVmY2JhZWVlNDU2YjVjYg==
CyMY9s1MngYqO1cgA9,"{""starttime"": 1499342437.858884, ""uid"": ""CyMY9s1MngYqO1cgA9"", ""saddr"": ""192.168.10.3"", ""daddr"": ""192.168.10.1"", ""dur"": 0.023526906967163086, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 60721, ""dport"": 53, ""spkts"": 1, ""dpkts"": 1, ""sbytes"": 34, ""dbytes"": 109, ""smac"": ""18:66:da:9b:e3:7d"", ""dmac"": ""00:c1:b1:14:eb:31"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",benign,profile_192.168.10.3,timewindow1,MjY5YTRmM2I4ZmExZDQ2N2RhZTcwMTA3ZTA2NWU0NTVmYzQyMWU5OA==
CADt481qTfbX0NY2Kd,"{""starttime"": 1499342438.004495, ""uid"": ""CADt481qTfbX0NY2Kd"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.00017118453979492188, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 55086, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 46, ""dbytes"": 196, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,Yzc0ZTQyOGNhYjUwYTExOWEzOThlOGVhOGQ1NTkyMjk0ZWM5NGM5Zg==
CROmNO3SfFl5z8y4L5,"{""starttime"": 1499342438.014671, ""uid"": ""CROmNO3SfFl5z8y4L5"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.02552485466003418, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 1379, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 68, ""dbytes"": 132, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,NTdmOTNiY2FiNWU5MGE0YWUyMGZmZmI4YTY4NmIxYTJmOGRkY2M5Nw==
CGTEFy1LLMGZ246NRj,"{""starttime"": 1499342438.014676, ""uid"": ""CGTEFy1LLMGZ246NRj"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.3"", ""dur"": 0.026386022567749023, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 11737, ""dport"": 53, ""spkts"": 2, ""dpkts"": 2, ""sbytes"": 68, ""dbytes"": 190, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""18:66:da:9b:e3:7d"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,Y2VlYjM1NTcxZDU2ZjE5MDk5NmE5YWE2YzQ4NjY4YjMxODlmNjU5Yw==
CHrmpu4JaQVc7X2qy9,"{""starttime"": 1499342438.014882, ""uid"": ""CHrmpu4JaQVc7X2qy9"", ""saddr"": ""192.168.10.3"", ""daddr"": ""192.168.10.1"", ""dur"": 0.025116920471191406, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 62468, ""dport"": 53, ""spkts"": 1, ""dpkts"": 1, ""sbytes"": 45, ""dbytes"": 77, ""smac"": ""18:66:da:9b:e3:7d"", ""dmac"": ""00:c1:b1:14:eb:31"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",benign,profile_192.168.10.3,timewindow1,NDdkZWU0ZTdmMmRiOWI5YThhYTU3NDgxMGVlYzYxZTU4NjVhMzNjMA==
CpkQAM2R7Yf1NKk9f4,"{""starttime"": 1499342438.014945, ""uid"": ""CpkQAM2R7Yf1NKk9f4"", ""saddr"": ""192.168.10.3"", ""daddr"": ""192.168.10.1"", ""dur"": 0.025925874710083008, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 62174, ""dport"": 53, ""spkts"": 1, ""dpkts"": 1, ""sbytes"": 45, ""dbytes"": 106, ""smac"": ""18:66:da:9b:e3:7d"", ""dmac"": ""00:c1:b1:14:eb:31"", ""state"": ""SF"", ""history"": ""Dd"", ""type_"": ""conn"", ""dir_"": ""->""}",benign,profile_192.168.10.3,timewindow1,ZTZlMjEwZGEzZjU0OTRiMDlhYTNhMmI2YzhkNmU0NmUxZmY3ODNlNQ==
Cbeaam2xjN4dexfnme,"{""starttime"": 1499342438.168848, ""uid"": ""Cbeaam2xjN4dexfnme"", ""saddr"": ""192.168.10.19"", ""daddr"": ""192.168.10.50"", ""dur"": 2.86102294921875e-06, ""proto"": ""udp"", ""appproto"": ""dns"", ""sport"": 137, ""dport"": 137, ""spkts"": 1, ""dpkts"": 1, ""sbytes"": 62, ""dbytes"": 62, ""smac"": ""00:23:ae:9b:ad:b3"", ""dmac"": ""00:19:b9:0a:69:f1"", ""state"": ""SF"", ""history"": ""D^d"", ""type_"": ""conn"", ""dir_"": ""->""}",malicious,profile_192.168.10.19,timewindow1,ODQ3ZDUxYmM2YTBmMDFlMjhjOWJkZmM4MzBhYzljNTY0MzU0MWQ0NA==
