frame.time_epoch,frame.len,protocol,eth.src,eth.dst,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,icmp.type,icmp.code,arp.opcode,arp.src.hw_mac,arp.src.proto_ipv4,arp.dst.hw_mac,arp.dst.proto_ipv4,ipv6.src,ipv6.dst,Label,Attack Category,Flow ID
1424219007.658518000,77,tcp,02:1a:c5:00:00:00,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219007.658559000,77,tcp,00:50:56:a5:24:c2,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219007.800276000,84,tcp,02:1a:c5:00:00:00,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219007.800286000,84,tcp,00:50:56:a5:24:c2,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219007.954612000,82,tcp,02:1a:c5:00:00:00,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219007.954621000,82,tcp,00:50:56:a5:24:c2,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219008.078298000,62,tcp,02:1a:c5:00:00:00,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219008.078307000,56,tcp,00:50:56:a5:24:c2,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219008.166280000,62,tcp,02:1a:c5:00:00:00,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219008.166289000,56,tcp,00:50:56:a5:24:c2,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219008.189139000,62,tcp,02:1a:c5:00:00:00,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219008.189148000,56,tcp,00:50:56:a5:24:c2,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219008.307404000,62,tcp,02:1a:c5:00:00:00,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219008.307413000,56,tcp,00:50:56:a5:24:c2,,175.45.176.3,149.171.126.16,22592,143,,,,,,,,,,,,BENIGN,,175.45.176.3-149.171.126.16-22592-143-1424219008.0
1424219007.737404000,97,tcp,00:1b:17:05:9e:1c,,149.171.126.16,175.45.176.3,143,22592,,,,,,,,,,,,BENIGN,,149.171.126.16-175.45.176.3-143-22592-1424219008.0
1424219007.737414000,97,tcp,00:50:56:a5:77:63,,149.171.126.16,175.45.176.3,143,22592,,,,,,,,,,,,BENIGN,,149.171.126.16-175.45.176.3-143-22592-1424219008.0
1424219007.873054000,103,tcp,00:1b:17:05:9e:1c,,149.171.126.16,175.45.176.3,143,22592,,,,,,,,,,,,BENIGN,,149.171.126.16-175.45.176.3-143-22592-1424219008.0
1424219007.873061000,103,tcp,00:50:56:a5:77:63,,149.171.126.16,175.45.176.3,143,22592,,,,,,,,,,,,BENIGN,,149.171.126.16-175.45.176.3-143-22592-1424219008.0
1424219008.033493000,1516,tcp,00:1b:17:05:9e:1c,,149.171.126.16,175.45.176.3,143,22592,,,,,,,,,,,,BENIGN,,149.171.126.16-175.45.176.3-143-22592-1424219008.0
1424219008.033503000,1516,tcp,00:50:56:a5:77:63,,149.171.126.16,175.45.176.3,143,22592,,,,,,,,,,,,BENIGN,,149.171.126.16-175.45.176.3-143-22592-1424219008.0
1424219008.033512000,1516,tcp,00:1b:17:05:9e:1c,,149.171.126.16,175.45.176.3,143,22592,,,,,,,,,,,,BENIGN,,149.171.126.16-175.45.176.3-143-22592-1424219008.0
